# Hasimoto simple-cubic correction, a=1.0, L=5
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.46605032
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 1.55000000E-01  2.07432154E-01 -4.45309820E-05 -6.29176530E-05  9.71086750E-01 -4.48035809E-05 -2.42082064E-04 -9.52570132E-07  5.47402936E-06  8.38285276E-06
 1.60000000E-01  2.12279169E-01 -4.47536818E-05 -6.41329825E-05  9.68158467E-01 -4.45304272E-05 -2.44056858E-04 -9.70349304E-07  5.54265835E-06  8.38709997E-06
 1.65000000E-01  2.17112641E-01 -4.49756510E-05 -6.53582038E-05  9.65612092E-01 -4.44686976E-05 -2.46012449E-04 -9.87680437E-07  5.61669189E-06  8.39176361E-06
 1.70000000E-01  2.21934335E-01 -4.51978401E-05 -6.65931550E-05  9.63397807E-01 -4.45815656E-05 -2.47928118E-04 -1.00444885E-06  5.69423282E-06  8.39712947E-06
 1.75000000E-01  2.26745789E-01 -4.54210301E-05 -6.78375848E-05  9.61472303E-01 -4.48374374E-05 -2.49787917E-04 -1.02057428E-06  5.77375444E-06  8.40341649E-06
 1.80000000E-01  2.31548337E-01 -4.56458569E-05 -6.90911739E-05  9.59797909E-01 -4.52092584E-05 -2.51579863E-04 -1.03600320E-06  5.85403994E-06  8.41078751E-06
 1.85000000E-01  2.36343139E-01 -4.58728328E-05 -7.03535530E-05  9.58341873E-01 -4.56738101E-05 -2.53295257E-04 -1.05071039E-06  5.93414387E-06  8.41936071E-06
 1.90000000E-01  2.41131210E-01 -4.61023632E-05 -7.16243177E-05  9.57075718E-01 -4.62113519E-05 -2.54928151E-04 -1.06468331E-06  6.01332610E-06  8.42921407E-06
 1.95000000E-01  2.45913423E-01 -4.63347639E-05 -7.29030408E-05  9.55974671E-01 -4.68050444E-05 -2.56474819E-04 -1.07792483E-06  6.09102832E-06  8.44039709E-06
 2.00000000E-01  2.50690543E-01 -4.65702734E-05 -7.41892815E-05 -1.47424767E+00  1.06192717E-03  8.58620890E-04  7.32196967E-06 -7.97876634E-05 -6.07648071E-06
 2.05000000E-01  2.37243748E-01 -3.84888070E-05 -6.71084378E-05 -1.34844756E+00  9.34060643E-04  7.77984085E-04  1.14193367E-05 -7.23725344E-05  7.73649093E-06
 2.10000000E-01  2.30816011E-01 -3.41381700E-05 -6.34201094E-05 -1.19547225E+00  8.06153159E-04  6.60445014E-04  8.76876433E-06 -6.18697577E-05 -5.28377510E-06
 2.15000000E-01  2.25221089E-01 -3.04271731E-05 -6.04117319E-05 -1.04739563E+00  6.74720277E-04  5.57744799E-04  8.45629116E-06 -5.25360897E-05 -3.71620345E-06
 2.20000000E-01  2.20354301E-01 -2.73821538E-05 -5.78797586E-05 -9.13488163E-01  5.60818446E-04  4.65270918E-04  7.22158365E-06 -4.39422515E-05 -3.80344477E-06
 2.25000000E-01  2.16121630E-01 -2.48628162E-05 -5.57845887E-05 -7.95269701E-01  4.62973956E-04  3.85437728E-04  6.02082936E-06 -3.65277187E-05 -3.73701527E-06
