# Hasimoto simple-cubic correction, a=1.0, L=10
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.72045879
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 1.60000000E-01  2.13068303E-01 -9.46335720E-06  6.69480437E-06  9.71258990E-01 -1.16998050E-04 -1.42353232E-05 -1.27064305E-07 -1.03042028E-07 -2.41757739E-07
 1.65000000E-01  2.17917265E-01 -1.00474817E-05  6.62350987E-06  9.68708792E-01 -1.16643187E-04 -1.42148376E-05 -1.26015647E-07 -9.12612108E-08 -2.44396051E-07
 1.70000000E-01  2.22754433E-01 -1.06298104E-05  6.55248691E-06  9.66491645E-01 -1.16285797E-04 -1.41373903E-05 -1.25139173E-07 -8.02313970E-08 -2.46736778E-07
 1.75000000E-01  2.27581348E-01 -1.12103459E-05  6.48199356E-06  9.64564058E-01 -1.15930606E-04 -1.40124918E-05 -1.24390007E-07 -6.99405321E-08 -2.48840582E-07
 1.80000000E-01  2.32399349E-01 -1.17891110E-05  6.41224335E-06  9.62888217E-01 -1.15581167E-04 -1.38485061E-05 -1.23728851E-07 -6.03677994E-08 -2.50759850E-07
 1.85000000E-01  2.37209601E-01 -1.23661432E-05  6.34341079E-06  9.61431248E-01 -1.15240234E-04 -1.36527295E-05 -1.23124685E-07 -5.14875111E-08 -2.52537828E-07
 1.90000000E-01  2.42013115E-01 -1.29414921E-05  6.27563658E-06  9.60164568E-01 -1.14909858E-04 -1.34314772E-05 -1.22554123E-07 -4.32718157E-08 -2.54207004E-07
 1.95000000E-01  2.46810770E-01 -1.35152154E-05  6.20903233E-06  9.59063329E-01 -1.14591493E-04 -1.31902328E-05 -1.21998452E-07 -3.56881313E-08 -2.55794993E-07
 2.00000000E-01  2.51603335E-01 -1.40873770E-05  6.14368427E-06 -1.48289318E+00 -3.19207436E-04 -2.29777834E-04  1.86511570E-06 -3.03107441E-06 -4.33951199E-06
 2.05000000E-01  2.38083977E-01 -1.61949540E-05  4.45332611E-06 -1.35630316E+00 -2.68232100E-04 -2.03101887E-04  2.24965192E-06 -4.92316566E-06 -6.77031207E-07
 2.10000000E-01  2.31618937E-01 -1.74086762E-05  3.50450654E-06 -1.20232640E+00 -2.01970444E-04 -1.71591019E-04  1.83035980E-06 -2.88806371E-06 -2.89887753E-06
 2.15000000E-01  2.25992246E-01 -1.82528743E-05  2.72532861E-06 -1.05327789E+00 -1.42489288E-04 -1.41113946E-04  1.69430513E-06 -2.66561733E-06 -2.15667471E-06
 2.20000000E-01  2.21098478E-01 -1.88166178E-05  2.09595155E-06 -9.18476580E-01 -9.01830038E-05 -1.13825805E-04  1.44766442E-06 -2.17229142E-06 -1.83556057E-06
 2.25000000E-01  2.16843099E-01 -1.91367671E-05  1.59504289E-06 -7.99477554E-01 -4.61378746E-05 -9.00238673E-05  1.22456639E-06 -1.73918225E-06 -1.57485961E-06
 2.30000000E-01  2.13143208E-01 -1.92573436E-05  1.20442839E-06 -6.95398392E-01 -9.70647850E-06 -6.95256074E-05  1.03069332E-06 -1.37211093E-06 -1.34652444E-06
 2.35000000E-01  2.09926415E-01 -1.92147976E-05  9.08046005E-07 -6.04697985E-01  2.00515077E-05 -5.20002245E-05  8.64888812E-07 -1.06677273E-06 -1.14857376E-06
 2.40000000E-01  2.07129675E-01 -1.90401451E-05  6.91858341E-07 -5.25769483E-01  4.40785808E-05 -3.70970877E-05  7.24058095E-07 -8.15330019E-07 -9.76766861E-07
 2.45000000E-01  2.04698149E-01 -1.87596845E-05  5.43630744E-07 -4.57123785E-01  6.32305215E-05 -2.44869102E-05  6.04827969E-07 -6.09767924E-07 -8.28040719E-07
 2.50000000E-01  2.02584145E-01 -1.83956520E-05  4.52721636E-07 -3.97434524E-01  7.82573514E-05 -1.38727788E-05  5.04068170E-07 -4.42790355E-07 -6.99742719E-07
 2.55000000E-01  2.00746195E-01 -1.79667982E-05  4.09893071E-07 -3.45537632E-01  8.98071418E-05 -4.99123965E-06  4.19027744E-07 -3.08047891E-07 -5.89468841E-07
 2.60000000E-01  1.99148250E-01 -1.74888880E-05  4.07140721E-07 -3.00417316E-01  9.84364231E-05  2.38988925E-06  3.47337382E-07 -2.00114473E-07 -4.95021916E-07
 2.65000000E-01  1.97758964E-01 -1.69751327E-05  4.37542988E-07 -2.61189174E-01  1.04621714E-04  8.47449370E-06  2.86972830E-07 -1.14393449E-07 -4.14401229E-07
 2.70000000E-01  1.96551088E-01 -1.64365609E-05  4.95126969E-07 -2.27083871E-01  1.08770253E-04  1.34412586E-05  2.36210469E-07 -4.70084447E-08 -3.45800781E-07
 2.75000000E-01  1.95500932E-01 -1.58823382E-05  5.74750174E-07 -1.97432415E-01  1.11229574E-04  1.74465444E-05  1.93583577E-07  5.29587296E-09 -2.87604267E-07
 2.80000000E-01  1.94587899E-01 -1.53200421E-05  6.71996109E-07 -1.71653141E-01  1.12295839E-04  2.06269846E-05  1.57845205E-07  4.52489874E-08 -2.38377358E-07
 2.85000000E-01  1.93794081E-01 -1.47558973E-05  7.83082134E-07 -1.49240337E-01  1.12221068E-04  2.31018121E-05  1.27934320E-07  7.51312937E-08 -1.96855706E-07
 2.90000000E-01  1.93103911E-01 -1.41949789E-05  9.04778262E-07 -1.29754346E-01  1.11219398E-04  2.49749296E-05  1.02949092E-07  9.68445026E-08 -1.61931489E-07
 2.95000000E-01  1.92503854E-01 -1.36413860E-05  1.03433571E-06 -1.12812928E-01  1.09472464E-04  2.63367605E-05  8.21233582E-08  1.11971258E-07 -1.32639455E-07
 3.00000000E-01  1.91982144E-01 -1.30983910E-05  1.16942408E-06 -9.80837673E-02  1.07134023E-04  2.72658948E-05  6.48069871E-08  1.21824492E-07 -1.08141798E-07
 3.05000000E-01  1.91528548E-01 -1.25685670E-05  1.30807639E-06 -8.52779527E-02  1.04333926E-04  2.78305457E-05  5.04490513E-08  1.27491595E-07 -8.77146058E-08
 3.10000000E-01  1.91134173E-01 -1.20538976E-05  1.44864075E-06 -7.41443060E-02  1.01181544E-04  2.80898254E-05  3.85828732E-08  1.29870273E-07 -7.07341640E-08
 3.15000000E-01  1.90791284E-01 -1.15558709E-05  1.58973807E-06 -6.44644545E-02  9.77687186E-05  2.80948731E-05  2.88125135E-08  1.29698415E-07 -5.66647114E-08
 3.20000000E-01  1.90493162E-01 -1.10755593E-05  1.73022506E-06 -5.60485454E-02  9.41722826E-05  2.78898490E-05  2.08029184E-08  1.27579987E-07 -4.50482101E-08
 3.25000000E-01  1.90233959E-01 -1.06136890E-05  1.86916175E-06 -4.87315213E-02  9.04562522E-05  2.75128129E-05  1.42699188E-08  1.24006831E-07 -3.54931782E-08
 3.30000000E-01  1.90008594E-01 -1.01706978E-05  2.00578322E-06 -4.23698815E-02  8.66736940E-05  2.69964959E-05  8.97305762E-09  1.19377427E-07 -2.76663043E-08
 3.35000000E-01  1.89812648E-01 -9.74678576E-06  2.13947490E-06 -3.68388665E-02  8.28683391E-05  2.63689805E-05  4.70898170E-09  1.14012615E-07 -2.12843486E-08
 3.40000000E-01  1.89642282E-01 -9.34195745E-06  2.26975103E-06 -3.20300098E-02  7.90759679E-05  2.56542958E-05  1.30588060E-09  1.08168916E-07 -1.61071523E-08
 3.45000000E-01  1.89494154E-01 -8.95605854E-06  2.39623579E-06 -2.78490103E-02  7.53256015E-05  2.48729414E-05 -1.38126006E-09  1.02049693E-07 -1.19315158E-08
 3.50000000E-01  1.89365361E-01 -8.58880644E-06  2.51864711E-06 -2.42138825E-02  7.16405230E-05  2.40423467E-05 -3.47469331E-09  9.58145003E-08 -8.58592320E-09
 3.55000000E-01  1.89253380E-01 -8.23981653E-06  2.63678236E-06 -2.10533471E-02  6.80391560E-05  2.31772743E-05 -5.07734667E-09  8.95869126E-08 -5.92600266E-09
 3.60000000E-01  1.89156014E-01 -7.90862417E-06  2.75050605E-06 -1.83054337E-02  6.45358181E-05  2.22901736E-05 -6.27575450E-09  8.34610697E-08 -3.83056178E-09
 3.65000000E-01  1.89071357E-01 -7.59470342E-06  2.85973917E-06 -1.59162644E-02  6.11413670E-05  2.13914905E-05 -7.14257360E-09  7.75071901E-08 -2.19807536E-09
 3.70000000E-01  1.88997748E-01 -7.29748272E-06  2.96444990E-06 -1.38389973E-02  5.78637555E-05  2.04899364E-05 -7.73873395E-09  7.17762028E-08 -9.43622521E-10
 3.75000000E-01  1.88933747E-01 -7.01635796E-06  3.06464571E-06 -1.20329074E-02  5.47085055E-05  1.95927241E-05 -8.11525661E-09  6.63035817E-08  3.71515231E-12
 3.80000000E-01  1.88878098E-01 -6.75070356E-06  3.16036630E-06 -1.04625878E-02  5.16791143E-05  1.87057747E-05 -8.31477946E-09  6.11124939E-08  7.03032643E-10
 3.85000000E-01  1.88829711E-01 -6.49988147E-06  3.25167779E-06 -9.09725500E-03  4.87774000E-05  1.78338973E-05 -8.37285330E-09  5.62163805E-08  1.20345338E-09
 3.90000000E-01  1.88787638E-01 -6.26324875E-06  3.33866759E-06 -7.91014546E-03  4.60037977E-05  1.69809478E-05 -8.31905334E-09  5.16210497E-08  1.54569204E-09
 3.95000000E-01  1.88751055E-01 -6.04016377E-06  3.42143995E-06 -6.87799034E-03  4.33576123E-05  1.61499654E-05 -8.17795753E-09  4.73263827E-08  1.76333715E-09
 4.00000000E-01  1.88719245E-01 -5.82999118E-06  3.50011232E-06 -5.98055919E-03  4.08372322E-05  1.53432927E-05 -7.96997129E-09  4.33276918E-08  1.88389196E-09
