# Hasimoto simple-cubic correction, a=1.0, L=30
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.90557847
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 1.60000000E-01  2.13195475E-01  8.44132634E-06  4.42386479E-06  9.71682640E-01  4.64920607E-05  1.42112841E-05 -2.70032883E-07  3.69539524E-07 -5.10195386E-07
 1.65000000E-01  2.18046556E-01  8.67295795E-06  4.49410709E-06  9.69132851E-01  4.61831526E-05  1.39200998E-05 -2.71033541E-07  3.69119079E-07 -5.05327905E-07
 1.70000000E-01  2.22885846E-01  8.90310145E-06  4.56297962E-06  9.66916219E-01  4.58959169E-05  1.36604804E-05 -2.72050653E-07  3.68680183E-07 -5.00930245E-07
 1.75000000E-01  2.27714885E-01  9.13186294E-06  4.63063297E-06  9.64989217E-01  4.56293923E-05  1.34296937E-05 -2.73064171E-07  3.68237204E-07 -4.96967166E-07
 1.80000000E-01  2.32535013E-01  9.35934359E-06  4.69720448E-06  9.63314008E-01  4.53825740E-05  1.32251761E-05 -2.74058933E-07  3.67801025E-07 -4.93404641E-07
 1.85000000E-01  2.37347395E-01  9.58563941E-06  4.76281907E-06  9.61857695E-01  4.51544332E-05  1.30445331E-05 -2.75023710E-07  3.67379876E-07 -4.90210108E-07
 1.90000000E-01  2.42153043E-01  9.81084122E-06  4.82759013E-06  9.60591680E-01  4.49439325E-05  1.28855360E-05 -2.75950482E-07  3.66979806E-07 -4.87352592E-07
 1.95000000E-01  2.46952837E-01  1.00350346E-05  4.89162032E-06  9.59491101E-01  4.47500384E-05  1.27461172E-05 -2.76833755E-07  3.66604932E-07 -4.84802943E-07
 2.00000000E-01  2.51747540E-01  1.02583001E-05  4.95500236E-06 -1.48477462E+00 -6.02307944E-06 -3.06539055E-05  1.45231650E-06  3.07800369E-06  1.22526601E-06
 2.05000000E-01  2.38213003E-01  1.01012519E-05  4.69323276E-06 -1.35799135E+00 -6.09078409E-06 -2.91428155E-05  1.57592858E-06 -3.89893915E-07 -7.14048570E-07
 2.10000000E-01  2.31740005E-01  1.00706287E-05  4.55129641E-06 -1.20372322E+00 -6.88738106E-06 -2.68635571E-05  1.29314047E-06  1.55782913E-06  7.58487270E-07
 2.15000000E-01  2.26107059E-01  1.00342003E-05  4.42267677E-06 -1.05444516E+00 -7.42947985E-06 -2.46852143E-05  1.12010211E-06  9.34664765E-07  5.08234454E-07
 2.20000000E-01  2.21208028E-01  9.99569767E-06  4.30469656E-06 -9.19439910E-01 -8.13084174E-06 -2.27759498E-05  9.44022012E-07  7.72268493E-07  5.08233770E-07
 2.25000000E-01  2.16948342E-01  9.95329006E-06  4.19558997E-06 -8.00267515E-01 -8.88462637E-06 -2.11475265E-05  7.88100096E-07  6.42725994E-07  5.06792796E-07
 2.30000000E-01  2.13244935E-01  9.90698247E-06  4.09392340E-06 -6.96042505E-01 -9.64302657E-06 -1.97754385E-05  6.53893991E-07  5.35340770E-07  4.97265687E-07
 2.35000000E-01  2.10025285E-01  9.85687134E-06  3.99847643E-06 -6.05220076E-01 -1.03703388E-05 -1.86223429E-05  5.39842177E-07  4.45026077E-07  4.80688088E-07
 2.40000000E-01  2.07226241E-01  9.80320137E-06  3.90824745E-06 -5.26189848E-01 -1.10411253E-05 -1.76508785E-05  4.43563903E-07  3.68695522E-07  4.58723390E-07
 2.45000000E-01  2.04792867E-01  9.74631876E-06  3.82242172E-06 -4.57459595E-01 -1.16383563E-05 -1.68276033E-05  3.62636972E-07  3.04164495E-07  4.33129029E-07
 2.50000000E-01  2.02677395E-01  9.68663391E-06  3.74034189E-06 -3.97700260E-01 -1.21516754E-05 -1.61238363E-05  2.94843239E-07  2.49704626E-07  4.05398030E-07
 2.55000000E-01  2.00838292E-01  9.62459224E-06  3.66148212E-06 -3.45745471E-01 -1.25758962E-05 -1.55154658E-05  2.38227581E-07  2.03865644E-07  3.76700898E-07
 2.60000000E-01  1.99239451E-01  9.56065220E-06  3.58542572E-06 -3.00577489E-01 -1.29097450E-05 -1.49824543E-05  1.91093940E-07  1.65400771E-07  3.47915526E-07
 2.65000000E-01  1.97849484E-01  9.49526886E-06  3.51184598E-06 -2.61310256E-01 -1.31548421E-05 -1.45082948E-05  1.51982122E-07  1.33229841E-07  3.19678908E-07
 2.70000000E-01  1.96641101E-01  9.42888190E-06  3.44048991E-06 -2.27173040E-01 -1.33148857E-05 -1.40794971E-05  1.19640403E-07  1.06416417E-07  2.92437910E-07
 2.75000000E-01  1.95590579E-01  9.36190736E-06  3.37116441E-06 -1.97495667E-01 -1.33950099E-05 -1.36851305E-05  9.29989734E-08  8.41503857E-08  2.66492528E-07
 2.80000000E-01  1.94677293E-01  9.29473200E-06  3.30372468E-06 -1.71695475E-01 -1.34012817E-05 -1.33164231E-05  7.11456982E-08  6.57329843E-08  2.42030898E-07
 2.85000000E-01  1.93883317E-01  9.22770991E-06  3.23806433E-06 -1.49265914E-01 -1.33403129E-05 -1.29664154E-05  5.33045796E-08  5.05634476E-08  2.19156995E-07
 2.90000000E-01  1.93193061E-01  9.16116077E-06  3.17410727E-06 -1.29766615E-01 -1.32189634E-05 -1.26296623E-05  3.88167887E-08  3.81268807E-08  1.97912263E-07
 2.95000000E-01  1.92592976E-01  9.09536933E-06  3.11180085E-06 -1.12814742E-01 -1.30441165E-05 -1.23019764E-05  2.71241043E-08  2.79833194E-08  1.78292427E-07
 3.00000000E-01  1.92071283E-01  9.03058586E-06  3.05111018E-06 -9.80774800E-02 -1.28225144E-05 -1.19802095E-05  1.77545005E-08  1.97578868E-08  1.60260440E-07
 3.05000000E-01  1.91617738E-01  8.96702729E-06  2.99201355E-06 -8.52654963E-02 -1.25606381E-05 -1.16620652E-05  1.03096409E-08  1.31320484E-08  1.43756513E-07
 3.10000000E-01  1.91223440E-01  8.90487880E-06  2.93449859E-06 -7.41272609E-02 -1.22646247E-05 -1.13459406E-05  4.45406577E-09  7.83585710E-09  1.28705681E-07
 3.15000000E-01  1.90880649E-01  8.84429571E-06  2.87855919E-06 -6.44441063E-02 -1.19402129E-05 -1.10307917E-05 -9.41292169E-11  3.64113022E-09  1.15023598E-07
 3.20000000E-01  1.90582638E-01  8.78540567E-06  2.82419310E-06 -5.60259342E-02 -1.15927114E-05 -1.07160191E-05 -3.57132939E-09  3.55498423E-10  1.02620896E-07
 3.25000000E-01  1.90323552E-01  8.72831087E-06  2.77139994E-06 -4.87074827E-02 -1.12269831E-05 -1.04013732E-05 -6.17528664E-09 -2.18281074E-09  9.14064043E-08
 3.30000000E-01  1.90098312E-01  8.67309027E-06  2.72017969E-06 -4.23450810E-02 -1.08474435E-05 -1.00868744E-05 -8.07103273E-09 -4.10949041E-09  8.12895002E-08
 3.35000000E-01  1.89902492E-01  8.61980191E-06  2.67053157E-06 -3.68138288E-02 -1.04580687E-05 -9.77274564E-06 -9.39593117E-09 -5.53804479E-09  7.21818202E-08
 3.40000000E-01  1.89732251E-01  8.56848500E-06  2.62245316E-06 -3.20051436E-02 -1.00624100E-05 -9.45935863E-06 -1.02639904E-08 -6.56316483E-09  6.39984246E-08
 3.45000000E-01  1.89584247E-01  8.51916210E-06  2.57593983E-06 -2.78246288E-02 -9.66361363E-06 -9.14718793E-06 -1.07695443E-08 -7.26362353E-09  5.66585931E-08
 3.50000000E-01  1.89455576E-01  8.47184102E-06  2.53098432E-06 -2.41902205E-02 -9.26444456E-06 -8.83677459E-06 -1.09903812E-08 -7.70474303E-09  5.00862993E-08
 3.55000000E-01  1.89343710E-01  8.42651672E-06  2.48757648E-06 -2.10305760E-02 -8.86731125E-06 -8.52869649E-06 -1.09904075E-08 -7.94051387E-09  4.42104825E-08
 3.60000000E-01  1.89246456E-01  8.38317300E-06  2.44570319E-06 -1.82836728E-02 -8.47429240E-06 -8.22354489E-06 -1.08219090E-08 -8.01538549E-09  3.89651176E-08
 3.65000000E-01  1.89161905E-01  8.34178409E-06  2.40534834E-06 -1.58955916E-02 -8.08716340E-06 -7.92190587E-06 -1.05274637E-08 -7.96580245E-09  3.42891868E-08
 3.70000000E-01  1.89088397E-01  8.30231609E-06  2.36649291E-06 -1.38194574E-02 -7.70742304E-06 -7.62434603E-06 -1.01415641E-08 -7.82151260E-09  3.01265472E-08
 3.75000000E-01  1.89024491E-01  8.26472832E-06  2.32911508E-06 -1.20145186E-02 -7.33631921E-06 -7.33140165E-06 -9.69197671E-09 -7.60668343E-09  2.64257389E-08
 3.80000000E-01  1.88968931E-01  8.22897449E-06  2.29319044E-06 -1.04453478E-02 -6.97487373E-06 -7.04357088E-06 -9.20088875E-09 -7.34084946E-09  2.31397577E-08
 3.85000000E-01  1.88920627E-01  8.19500373E-06  2.25869216E-06 -9.08114583E-03 -6.62390576E-06 -6.76130826E-06 -8.68587922E-09 -7.03970918E-09  2.02257974E-08
 3.90000000E-01  1.88878632E-01  8.16276162E-06  2.22559128E-06 -7.89513703E-03 -6.28405378E-06 -6.48502135E-06 -8.16072307E-09 -6.71579307E-09  1.76449824E-08
