# Hasimoto simple-cubic correction, a=1.0, L=60
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.95273106
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 1.55000000E-01  2.08354402E-01 -5.09637847E-07 -3.44079025E-06  9.74697145E-01  6.33105682E-07 -2.48330454E-05  8.23405925E-08  1.31958707E-07 -1.17259502E-07
 1.60000000E-01  2.13219453E-01 -5.06620071E-07 -3.56479845E-06  9.71764200E-01  5.72666071E-07 -2.47721362E-05  8.54817689E-08  1.31375097E-07 -1.18252409E-07
 1.65000000E-01  2.18070941E-01 -5.03907840E-07 -3.68850685E-06  9.69214506E-01  5.11805486E-07 -2.47133518E-05  8.84422275E-08  1.30898417E-07 -1.19182768E-07
 1.70000000E-01  2.22910640E-01 -5.01500963E-07 -3.81192664E-06  9.66997988E-01  4.51272851E-07 -2.46568336E-05  9.12152646E-08  1.30506682E-07 -1.20055404E-07
 1.75000000E-01  2.27740089E-01 -4.99395931E-07 -3.93506952E-06  9.65071112E-01  3.91671070E-07 -2.46026630E-05  9.37990263E-08  1.30182038E-07 -1.20875255E-07
 1.80000000E-01  2.32560628E-01 -4.97586581E-07 -4.05794741E-06  9.63396038E-01  3.33478499E-07 -2.45508750E-05  9.61953459E-08  1.29910215E-07 -1.21647045E-07
 1.85000000E-01  2.37373420E-01 -4.96064669E-07 -4.18057232E-06  9.61939866E-01  2.77066925E-07 -2.45014677E-05  9.84088206E-08  1.29679752E-07 -1.22375133E-07
 1.90000000E-01  2.42179478E-01 -4.94820363E-07 -4.30295614E-06  9.60673993E-01  2.22718020E-07 -2.44544131E-05  1.00446072E-07  1.29481739E-07 -1.23063413E-07
 1.95000000E-01  2.46979684E-01 -4.93842646E-07 -4.42511056E-06  9.59573556E-01  1.70637298E-07 -2.44096621E-05  1.02315127E-07  1.29309181E-07 -1.23715151E-07
 2.00000000E-01  2.51774800E-01 -4.93119661E-07 -4.54704700E-06 -1.48511535E+00  1.86199557E-05 -1.77848812E-05 -2.28548419E-06 -3.00194235E-06 -2.07118860E-06
 2.05000000E-01  2.38237501E-01 -3.53896586E-07 -4.61940945E-06 -1.35830123E+00  1.76156409E-05 -1.72121800E-05 -9.92977536E-07  8.93329488E-08  1.10813224E-06
 2.10000000E-01  2.31763031E-01 -2.68329169E-07 -4.70403860E-06 -1.20398113E+00  1.47288854E-05 -1.47044338E-05 -1.26333808E-06 -1.40044362E-06 -6.01581742E-07
 2.15000000E-01  2.26128925E-01 -2.01901630E-07 -4.77129140E-06 -1.05466208E+00  1.21457374E-05 -1.32291133E-05 -8.44052224E-07 -9.00627936E-07 -1.34929815E-07
 2.20000000E-01  2.21228912E-01 -1.47630813E-07 -4.83374867E-06 -9.19620051E-01  9.58358792E-06 -1.18350791E-05 -6.31599449E-07 -7.59446351E-07 -1.24716267E-07
 2.25000000E-01  2.16968417E-01 -1.06118247E-07 -4.88943897E-06 -8.00416185E-01  7.30828773E-06 -1.06608625E-05 -4.65517105E-07 -6.35738048E-07 -1.24613077E-07
 2.30000000E-01  2.13264346E-01 -7.52650591E-08 -4.93980775E-06 -6.96164550E-01  5.32943790E-06 -9.68086750E-06 -3.34266225E-07 -5.33016352E-07 -1.25946515E-07
 2.35000000E-01  2.10044153E-01 -5.35649941E-08 -4.98576209E-06 -6.05319725E-01  3.62881721E-06 -8.86510363E-06 -2.30448841E-07 -4.46711240E-07 -1.24475698E-07
 2.40000000E-01  2.07244666E-01 -3.96724599E-08 -5.02804820E-06 -5.26270728E-01  2.18027472E-06 -8.18531512E-06 -1.48692017E-07 -3.74189245E-07 -1.20297473E-07
 2.45000000E-01  2.04810935E-01 -3.23924424E-08 -5.06727531E-06 -4.57524794E-01  9.56522576E-07 -7.61680563E-06 -8.48101556E-08 -3.13205088E-07 -1.14143651E-07
 2.50000000E-01  2.02695175E-01 -3.06692100E-08 -5.10393807E-06 -3.97752391E-01 -6.85123751E-08 -7.13866012E-06 -3.54290563E-08 -2.61906662E-07 -1.06782609E-07
 2.55000000E-01  2.00855845E-01 -3.35743592E-08 -5.13843600E-06 -3.45786747E-01 -9.18917510E-07 -6.73344108E-06  2.21090569E-09 -2.18754718E-07 -9.88313111E-08
 2.60000000E-01  1.99256825E-01 -4.02949596E-08 -5.17109015E-06 -3.00609776E-01 -1.61659991E-06 -6.38674380E-06  3.03783870E-08 -1.82462994E-07 -9.07364877E-08
 2.65000000E-01  1.97866718E-01 -5.01221652E-08 -5.20215714E-06 -2.61335122E-01 -2.18130925E-06 -6.08674831E-06  5.09401191E-08 -1.51952877E-07 -8.28019523E-08
 2.70000000E-01  1.96658229E-01 -6.24404847E-08 -5.23184089E-06 -2.27191810E-01 -2.63074379E-06 -5.82381233E-06  6.54305716E-08 -1.26317662E-07 -7.52225576E-08
 2.75000000E-01  1.95607628E-01 -7.67177901E-08 -5.26030261E-06 -1.97509449E-01 -2.98068951E-06 -5.59011644E-06  7.51085647E-08 -1.04793816E-07 -6.81139962E-08
 2.80000000E-01  1.94694288E-01 -9.24961019E-08 -5.28766895E-06 -1.71705199E-01 -3.24517000E-06 -5.37935898E-06  8.10040802E-08 -8.67375562E-08 -6.15359935E-08
 2.85000000E-01  1.93900272E-01 -1.09383153E-07 -5.31403885E-06 -1.49272356E-01 -3.43659804E-06 -5.18649702E-06  8.39572297E-08 -7.16055399E-08 -5.55097553E-08
 2.90000000E-01  1.93209993E-01 -1.27044713E-07 -5.33948918E-06 -1.29770423E-01 -3.56592324E-06 -5.00752701E-06  8.46507934E-08 -5.89389008E-08 -5.00307327E-08
 2.95000000E-01  1.92609895E-01 -1.45197643E-07 -5.36407939E-06 -1.12816456E-01 -3.64277318E-06 -4.83929989E-06  8.36373805E-08 -4.83499180E-08 -4.50778057E-08
 3.00000000E-01  1.92088198E-01 -1.63603633E-07 -5.38785532E-06 -9.80775464E-02 -3.67558599E-06 -4.67936581E-06  8.13621007E-08 -3.95108923E-08 -4.06197938E-08
 3.05000000E-01  1.91634657E-01 -1.82063595E-07 -5.41085232E-06 -8.52642844E-02 -3.67173380E-06 -4.52584420E-06  7.81814836E-08 -3.21448264E-08 -3.66200994E-08
 3.10000000E-01  1.91240369E-01 -2.00412634E-07 -5.43309774E-06 -7.41250748E-02 -3.63763653E-06 -4.37731544E-06  7.43792339E-08 -2.60176028E-08 -3.30398314E-08
 3.15000000E-01  1.90897592E-01 -2.18515574E-07 -5.45461299E-06 -6.44411951E-02 -3.57886593E-06 -4.23273027E-06  7.01793527E-08 -2.09313556E-08 -2.98399565E-08
 3.20000000E-01  1.90599595E-01 -2.36262977E-07 -5.47541518E-06 -5.60225013E-02 -3.50024082E-06 -4.09133503E-06  6.57570375E-08 -1.67189453E-08 -2.69826729E-08
 3.25000000E-01  1.90340529E-01 -2.53567618E-07 -5.49551836E-06 -4.87036929E-02 -3.40591336E-06 -3.95260945E-06  6.12477310E-08 -1.32392263E-08 -2.44322775E-08
 3.30000000E-01  1.90115308E-01 -2.70361366E-07 -5.51493460E-06 -4.23410671E-02 -3.29944713E-06 -3.81621560E-06  5.67546199E-08 -1.03730753E-08 -2.21556436E-08
 3.35000000E-01  1.89919509E-01 -2.86592436E-07 -5.53367469E-06 -3.68096967E-02 -3.18388750E-06 -3.68195587E-06  5.23548388E-08 -8.02002402E-09 -2.01224394E-08
 3.40000000E-01  1.89749289E-01 -3.02222975E-07 -5.55174883E-06 -3.20009771E-02 -3.06182462E-06 -3.54973887E-06  4.81045846E-08 -6.09539343E-09 -1.83051828E-08
 3.45000000E-01  1.89601306E-01 -3.17226940E-07 -5.56916697E-06 -2.78204934E-02 -2.93544984E-06 -3.41955159E-06  4.40433375E-08 -4.52788453E-09 -1.66791697E-08
 3.50000000E-01  1.89472655E-01 -3.31588252E-07 -5.58593926E-06 -2.41861664E-02 -2.80660618E-06 -3.29143717E-06  4.01973212E-08 -3.25750602E-09 -1.52223357E-08
 3.55000000E-01  1.89360810E-01 -3.45299174E-07 -5.60207617E-06 -2.10266408E-02 -2.67683292E-06 -3.16547702E-06  3.65823370E-08 -2.23384209E-09 -1.39150721E-08
 3.60000000E-01  1.89263576E-01 -3.58358906E-07 -5.61758865E-06 -1.82798844E-02 -2.54740553E-06 -3.04177664E-06  3.32060845E-08 -1.41456652E-09 -1.27400237E-08
 3.65000000E-01  1.89179043E-01 -3.70772365E-07 -5.63248829E-06 -1.58919694E-02 -2.41937072E-06 -2.92045460E-06  3.00700375E-08 -7.64193493E-10 -1.16818804E-08
 3.70000000E-01  1.89105553E-01 -3.82549131E-07 -5.64678725E-06 -1.38160139E-02 -2.29357770E-06 -2.80163404E-06  2.71709747E-08 -2.53003723E-10 -1.07271648E-08
 3.75000000E-01  1.89041663E-01 -3.93702538E-07 -5.66049837E-06 -1.20112614E-02 -2.17070549E-06 -2.68543613E-06  2.45022066E-08  1.43852095E-10 -9.86404127E-09
 3.80000000E-01  1.88986119E-01 -4.04248885E-07 -5.67363505E-06 -1.04422799E-02 -2.05128711E-06 -2.57197535E-06  2.20545587E-08  4.47120318E-10 -9.08212637E-09
 3.85000000E-01  1.88937829E-01 -4.14206774E-07 -5.68621127E-06 -9.07826700E-03 -1.93573079E-06 -2.46135603E-06  1.98171573E-08  6.74093109E-10 -8.37231967E-09
 3.90000000E-01  1.88895848E-01 -4.23596538E-07 -5.69824151E-06 -7.89244448E-03 -1.82433848E-06 -2.35367007E-06  1.77780489E-08  8.39157209E-10 -7.72664919E-09
 3.95000000E-01  1.88859350E-01 -4.32439749E-07 -5.70974064E-06 -6.86153273E-03 -1.71732213E-06 -2.24899552E-06  1.59246821E-08  9.54260249E-10 -7.13813525E-09
 4.00000000E-01  1.88827620E-01 -4.40758818E-07 -5.72072394E-06 -5.96529362E-03 -1.61481775E-06 -2.14739567E-06  1.42442840E-08  1.02929814E-09 -6.60066322E-09
 4.05000000E-01  1.88800035E-01 -4.48576646E-07 -5.73120692E-06 -5.18613310E-03 -1.51689795E-06 -2.04891905E-06  1.27241419E-08  1.07245059E-09 -6.10887157E-09
 4.10000000E-01  1.88776051E-01 -4.55916336E-07 -5.74120532E-06 -4.50875576E-03 -1.42358236E-06 -1.95359940E-06  1.13518228E-08  1.09046018E-09 -5.65805892E-09
 4.15000000E-01  1.88755201E-01 -4.62800959E-07 -5.75073501E-06 -3.91986450E-03 -1.33484712E-06 -1.86145632E-06  1.01153205E-08  1.08886776E-09 -5.24409804E-09
 4.20000000E-01  1.88737074E-01 -4.69253357E-07 -5.75981194E-06 -3.40789947E-03 -1.25063278E-06 -1.77249584E-06  9.00317134E-09  1.07221086E-09 -4.86335594E-09
 4.25000000E-01  1.88721315E-01 -4.75295985E-07 -5.76845202E-06 -2.96281104E-03 -1.17085120E-06 -1.68671144E-06  8.00451967E-09  1.04419185E-09 -4.51263460E-09
 4.30000000E-01  1.88707613E-01 -4.80950787E-07 -5.77667111E-06 -2.57586257E-03 -1.09539147E-06 -1.60408494E-06  7.10916937E-09  1.00781935E-09 -4.18911018E-09
 4.35000000E-01  1.88695701E-01 -4.86239095E-07 -5.78448498E-06 -2.23945878E-03 -1.02412501E-06 -1.52458754E-06  6.30759527E-09  9.65521413E-10 -3.89028664E-09
 4.40000000E-01  1.88685344E-01 -4.91181554E-07 -5.79190917E-06 -1.94699672E-03 -9.56909765E-07 -1.44818097E-06  5.59095508E-09  9.19249431E-10 -3.61394773E-09
 4.45000000E-01  1.88676341E-01 -4.95798064E-07 -5.79895905E-06 -1.69273603E-03 -8.93593981E-07 -1.37481856E-06  4.95107162E-09  8.70556421E-10 -3.35812540E-09
 4.50000000E-01  1.88668513E-01 -5.00107745E-07 -5.80564974E-06 -1.47168631E-03 -8.34019245E-07 -1.30444624E-06  4.38041868E-09  8.20672683E-10 -3.12106400E-09
 4.55000000E-01  1.88661707E-01 -5.04128904E-07 -5.81199605E-06 -1.27950913E-03 -7.78023151E-07 -1.23700367E-06  3.87209225E-09  7.70557671E-10 -2.90119624E-09
 4.60000000E-01  1.88655790E-01 -5.07879030E-07 -5.81801246E-06 -1.11243282E-03 -7.25441357E-07 -1.17242499E-06  3.41978022E-09  7.20956469E-10 -2.69711620E-09
 4.65000000E-01  1.88650645E-01 -5.11374782E-07 -5.82371313E-06 -9.67178461E-04 -6.76109413E-07 -1.11063985E-06  3.01773229E-09  6.72434418E-10 -2.50756290E-09
 4.70000000E-01  1.88646173E-01 -5.14632000E-07 -5.82911187E-06 -8.40895480E-04 -6.29864222E-07 -1.05157435E-06  2.66071819E-09  6.25411937E-10 -2.33139703E-09
 4.75000000E-01  1.88642284E-01 -5.17665708E-07 -5.83422208E-06 -7.31105703E-04 -5.86545229E-07 -9.95151683E-07  2.34399868E-09  5.80191302E-10 -2.16759190E-09
 4.80000000E-01  1.88638903E-01 -5.20490136E-07 -5.83905678E-06 -6.35654702E-04 -5.45995430E-07 -9.41293128E-07  2.06328399E-09  5.36981968E-10 -2.01521332E-09
 4.85000000E-01  1.88635963E-01 -5.23118739E-07 -5.84362860E-06 -5.52669498E-04 -5.08062010E-07 -8.89918625E-07  1.81470180E-09  4.95915782E-10 -1.87341490E-09
 4.90000000E-01  1.88633407E-01 -5.25564216E-07 -5.84794976E-06 -4.80521786E-04 -4.72597007E-07 -8.40947480E-07  1.59476340E-09  4.57067840E-10 -1.74142349E-09
 4.95000000E-01  1.88631185E-01 -5.27838538E-07 -5.85203207E-06 -4.17795978E-04 -4.39457673E-07 -7.94299052E-07  1.40032929E-09  4.20463713E-10 -1.61853286E-09
 5.00000000E-01  1.88629253E-01 -5.29952978E-07 -5.85588694E-06 -3.63261407E-04 -4.08506956E-07 -7.49893297E-07  1.22857987E-09  3.86094913E-10 -1.50409562E-09
