# Hasimoto simple-cubic correction, a=1.0, L=20
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.85865860
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 1.60000000E-01  2.13169889E-01  3.09075801E-06  2.08754689E-06  9.71597360E-01  2.99475588E-05  3.48676670E-05 -3.86846218E-07 -2.25018458E-08  8.02511574E-07
 1.65000000E-01  2.18020543E-01  3.23984196E-06  2.26151924E-06  9.69047460E-01  2.96700205E-05  3.47000295E-05 -3.93839946E-07 -1.74087947E-08  7.97447175E-07
 1.70000000E-01  2.22859406E-01  3.38749823E-06  2.43460029E-06  9.66830695E-01  2.93811582E-05  3.45160129E-05 -4.00366051E-07 -1.28940912E-08  7.92776368E-07
 1.75000000E-01  2.27688017E-01  3.53368185E-06  2.60672031E-06  9.64903550E-01  2.90850267E-05  3.43197901E-05 -4.06422289E-07 -8.90036446E-09  7.88477966E-07
 1.80000000E-01  2.32507718E-01  3.67836666E-06  2.77782870E-06  9.63228189E-01  2.87851121E-05  3.41149267E-05 -4.12015225E-07 -5.37488715E-09  7.84530115E-07
 1.85000000E-01  2.37319670E-01  3.82154243E-06  2.94789118E-06  9.61771722E-01  2.84843859E-05  3.39044545E-05 -4.17157993E-07 -2.26928715E-09  7.80910574E-07
 1.90000000E-01  2.42124887E-01  3.96321256E-06  3.11688727E-06  9.60505553E-01  2.81853578E-05  3.36909358E-05 -4.21868445E-07  4.60452195E-10  7.77597333E-07
 1.95000000E-01  2.46924249E-01  4.10339177E-06  3.28480816E-06  9.59404823E-01  2.78901247E-05  3.34765213E-05 -4.26167698E-07  2.85470331E-09  7.74568829E-07
 2.00000000E-01  2.51718522E-01  4.24210431E-06  3.45165473E-06 -1.48439486E+00  4.01052794E-05  9.60737171E-05  4.92257726E-06 -1.83064004E-06  1.68264956E-06
 2.05000000E-01  2.38187048E-01  4.47316860E-06  4.08851630E-06 -1.35765272E+00  4.47604684E-05  9.10630939E-05  2.71407151E-06  8.64583602E-07 -1.68200506E-07
 2.10000000E-01  2.31715640E-01  4.70860891E-06  4.53130521E-06 -1.20344202E+00  5.50888622E-05  8.29466561E-05  3.03412495E-06 -1.16677684E-07  1.77749843E-07
 2.15000000E-01  2.26083956E-01  5.00987420E-06  4.92574740E-06 -1.05421039E+00  6.18237645E-05  7.56582289E-05  2.26026996E-06  4.10402414E-07 -1.46216506E-07
 2.20000000E-01  2.21185984E-01  5.33583028E-06  5.28581747E-06 -9.19246026E-01  6.70349483E-05  6.83997941E-05  1.76433933E-06  5.42874504E-07 -2.12469384E-07
 2.25000000E-01  2.16927164E-01  5.68403299E-06  5.60967036E-06 -8.00108381E-01  7.03417908E-05  6.14991875E-05  1.35593560E-06  6.10840892E-07 -2.57582176E-07
 2.30000000E-01  2.13224467E-01  6.04400905E-06  5.89991478E-06 -6.95912630E-01  7.20152280E-05  5.50176503E-05  1.02238507E-06  6.44343986E-07 -2.80882364E-07
 2.35000000E-01  2.10005392E-01  6.40826878E-06  6.15879919E-06 -6.05114712E-01  7.23650205E-05  4.89750972E-05  7.51874928E-07  6.54127785E-07 -2.92840096E-07
 2.40000000E-01  2.07206815E-01  6.77096835E-06  6.38856828E-06 -5.26104943E-01  7.16773204E-05  4.33740258E-05  5.34039479E-07  6.47676316E-07 -2.96735638E-07
 2.45000000E-01  2.04773814E-01  7.12763571E-06  6.59143574E-06 -4.57391718E-01  7.01974673E-05  3.82078390E-05  3.59974491E-07  6.29942187E-07 -2.94775884E-07
 2.50000000E-01  2.02658638E-01  7.47492342E-06  6.76955947E-06 -3.97646510E-01  6.81289625E-05  3.34642600E-05  2.22115603E-07  6.04483516E-07 -2.88526759E-07
 2.55000000E-01  2.00819768E-01  7.81039697E-06  6.92502182E-06 -3.45703408E-01  6.56376747E-05  2.91271282E-05  1.14077098E-07  5.73942570E-07 -2.79170986E-07
 2.60000000E-01  1.99221110E-01  8.13235712E-06  7.05981463E-06 -3.00545058E-01  6.28572535E-05  2.51775874E-05  3.04909627E-08  5.40306754E-07 -2.67627598E-07
 2.65000000E-01  1.97831280E-01  8.43969233E-06  7.17582872E-06 -2.61285729E-01  5.98943602E-05  2.15949788E-05 -3.31395864E-08  5.05071794E-07 -2.54617413E-07
