#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            9.986834e-01   9.986960e-01   1.121514e-03   9.964906e-01   1.000936e+00     1.0032
       0.1 delta            1.064932e-01   1.064790e-01   1.139166e-03   1.042878e-01   1.088156e-01     1.0034
       0.1 sigma_noise      4.747497e-03   4.663573e-03   6.917667e-04   3.621326e-03   6.302529e-03     1.0020
       0.5 eta_s            9.968856e-01   9.968938e-01   5.761062e-03   9.853497e-01   1.008035e+00     1.0062
       0.5 delta            1.052624e-01   1.051232e-01   5.797561e-03   9.417587e-02   1.169428e-01     1.0056
       0.5 sigma_noise      2.373240e-02   2.335443e-02   3.394469e-03   1.813850e-02   3.130618e-02     1.0020
         1 eta_s            9.949694e-01   9.949808e-01   1.117446e-02   9.729583e-01   1.017333e+00     1.0040
         1 delta            1.041075e-01   1.035789e-01   1.116850e-02   8.358124e-02   1.278764e-01     1.0045
         1 sigma_noise      4.764907e-02   4.692910e-02   6.828793e-03   3.620723e-02   6.284995e-02     1.0017
         2 eta_s            9.900718e-01   9.898124e-01   2.257297e-02   9.449617e-01   1.035413e+00     1.0027
         2 delta            1.019428e-01   9.954908e-02   2.237120e-02   6.419415e-02   1.527799e-01     1.0023
         2 sigma_noise      9.456870e-02   9.305111e-02   1.333059e-02   7.238211e-02   1.244575e-01     1.0064
         5 eta_s            9.833003e-01   9.800352e-01   5.634577e-02   8.817105e-01   1.103350e+00     1.0033
         5 delta            1.118949e-01   9.396309e-02   7.722389e-02   3.456608e-02   2.944468e-01     1.0034
         5 sigma_noise      2.355826e-01   2.321162e-01   3.325500e-02   1.800666e-01   3.119623e-01     1.0053
        10 eta_s            9.875598e-01   9.720521e-01   1.196143e-01   8.044797e-01   1.288999e+00     1.0029
        10 delta            3.651182e-01   9.202604e-02   1.934341e+00   1.451222e-02   1.809880e+00     1.0028
        10 sigma_noise      4.692953e-01   4.622962e-01   6.684666e-02   3.595882e-01   6.228780e-01     1.0031
