#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            1.041456e+00   1.041655e+00   1.254087e-02   1.016537e+00   1.065564e+00     1.0040
       0.1 delta            1.164751e-01   1.164572e-01   6.830165e-03   1.033219e-01   1.299933e-01     1.0039
       0.1 sigma_noise      4.487690e-03   4.403836e-03   6.556320e-04   3.431658e-03   5.970526e-03     1.0008
       0.5 eta_s            1.016413e+00   1.018237e+00   6.404283e-02   8.864407e-01   1.139176e+00     1.0109
       0.5 delta            1.070021e-01   1.042812e-01   3.261172e-02   5.149233e-02   1.792446e-01     1.0105
       0.5 sigma_noise      2.253135e-02   2.217166e-02   3.206570e-03   1.729223e-02   2.964075e-02     1.0114
         1 eta_s            9.653863e-01   9.693921e-01   1.364890e-01   7.056696e-01   1.218993e+00     1.0089
         1 delta            9.495038e-02   8.208920e-02   6.498946e-02   1.387407e-02   2.481951e-01     1.0072
         1 sigma_noise      4.477878e-02   4.404209e-02   6.374253e-03   3.452688e-02   5.969447e-02     1.0085
         2 eta_s            9.353653e-01   9.050892e-01   1.885771e-01   6.804936e-01   1.369553e+00     1.0150
         2 delta            1.016747e-01   5.794600e-02   1.393790e-01   1.100286e-02   4.411477e-01     1.0062
         2 sigma_noise      8.939025e-02   8.810214e-02   1.257581e-02   6.847719e-02   1.182484e-01     1.0098
         5 eta_s            1.207244e+00   1.060773e+00   4.523941e-01   6.816166e-01   2.069957e+00     1.1036
         5 delta            3.085520e+00   1.294128e-01   7.927123e+00   1.144638e-02   3.204696e+01     1.1582
         5 sigma_noise      2.182294e-01   2.137565e-01   3.010725e-02   1.701992e-01   2.854540e-01     1.0209
        10 eta_s            1.347991e+00   1.265765e+00   4.859331e-01   6.785200e-01   2.087405e+00     1.0516
        10 delta            4.491054e+00   3.134532e-01   9.207017e+00   1.181714e-02   3.674189e+01     1.0546
        10 sigma_noise      4.357488e-01   4.290807e-01   6.079485e-02   3.371766e-01   5.736138e-01     1.0178
