#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            9.998350e-01   9.998265e-01   1.214784e-03   9.974669e-01   1.002248e+00     1.0061
       0.1 delta            1.054664e-01   1.054526e-01   1.153416e-03   1.032390e-01   1.077829e-01     1.0053
       0.1 sigma_noise      5.092787e-03   5.011363e-03   7.421869e-04   3.894615e-03   6.797560e-03     1.0025
       0.5 eta_s            9.979297e-01   9.979112e-01   6.273106e-03   9.855164e-01   1.010387e+00     1.0053
       0.5 delta            1.041388e-01   1.039637e-01   5.828722e-03   9.315889e-02   1.161785e-01     1.0046
       0.5 sigma_noise      2.515793e-02   2.470275e-02   3.727183e-03   1.908754e-02   3.368750e-02     1.0040
         1 eta_s            9.956919e-01   9.954616e-01   1.218033e-02   9.720956e-01   1.020262e+00     1.0079
         1 delta            1.030725e-01   1.023469e-01   1.149744e-02   8.264792e-02   1.277725e-01     1.0095
         1 sigma_noise      5.025866e-02   4.934297e-02   7.461221e-03   3.819623e-02   6.696736e-02     1.0082
         2 eta_s            9.928290e-01   9.925778e-01   2.415210e-02   9.444965e-01   1.040568e+00     1.0036
         2 delta            1.028010e-01   1.003736e-01   2.304331e-02   6.387798e-02   1.546511e-01     1.0040
         2 sigma_noise      1.014669e-01   9.992641e-02   1.467814e-02   7.749364e-02   1.348923e-01     1.0083
         5 eta_s            9.825968e-01   9.805488e-01   6.187466e-02   8.691692e-01   1.111010e+00     1.0018
         5 delta            1.100853e-01   9.258188e-02   7.355250e-02   3.094903e-02   2.931763e-01     1.0016
         5 sigma_noise      2.543497e-01   2.498399e-01   3.799636e-02   1.931799e-01   3.419660e-01     1.0136
        10 eta_s            1.006204e+00   9.865511e-01   1.360581e-01   7.998233e-01   1.364571e+00     1.0006
        10 delta            6.067225e-01   1.032198e-01   3.574880e+00   1.489976e-02   2.902250e+00     1.0044
        10 sigma_noise      5.014498e-01   4.935037e-01   7.281555e-02   3.827697e-01   6.663817e-01     1.0014
