#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            1.015025e+00   1.015011e+00   2.293447e-03   1.010535e+00   1.019652e+00     1.0086
       0.1 delta            1.072670e-01   1.072673e-01   1.593388e-03   1.041648e-01   1.105311e-01     1.0086
       0.1 sigma_noise      5.487906e-03   5.399263e-03   7.736999e-04   4.223445e-03   7.235109e-03     1.0085
       0.5 eta_s            1.011469e+00   1.011501e+00   1.105309e-02   9.898915e-01   1.033582e+00     1.0030
       0.5 delta            1.053837e-01   1.051458e-01   7.579245e-03   9.114139e-02   1.212736e-01     1.0030
       0.5 sigma_noise      2.638915e-02   2.589174e-02   3.792092e-03   2.034065e-02   3.517764e-02     1.0034
         1 eta_s            1.007160e+00   1.007608e+00   2.133066e-02   9.638829e-01   1.049189e+00     1.0074
         1 delta            1.033509e-01   1.028776e-01   1.431861e-02   7.653917e-02   1.335700e-01     1.0079
         1 sigma_noise      5.297861e-02   5.211728e-02   7.738088e-03   4.037610e-02   7.080020e-02     1.0010
         2 eta_s            9.985210e-01   9.975786e-01   4.421272e-02   9.121076e-01   1.085899e+00     1.0050
         2 delta            1.009267e-01   9.690401e-02   2.975915e-02   5.325551e-02   1.694625e-01     1.0044
         2 sigma_noise      1.060347e-01   1.041029e-01   1.571798e-02   8.070102e-02   1.425968e-01     1.0018
         5 eta_s            9.850008e-01   9.817230e-01   1.089475e-01   7.792910e-01   1.211297e+00     1.0021
         5 delta            1.139687e-01   8.878886e-02   1.051631e-01   1.833941e-02   3.528123e-01     1.0010
         5 sigma_noise      2.658483e-01   2.619168e-01   3.834103e-02   2.035681e-01   3.519749e-01     1.0006
        10 eta_s            1.086277e+00   1.018429e+00   2.765504e-01   7.358716e-01   1.726759e+00     1.0415
        10 delta            2.065880e+00   1.168683e-01   6.343045e+00   1.219651e-02   2.468925e+01     1.0450
        10 sigma_noise      5.256347e-01   5.164001e-01   7.546060e-02   4.033732e-01   6.981243e-01     1.0165
