#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            1.032387e+00   1.032421e+00   5.305226e-03   1.021900e+00   1.042927e+00     1.0023
       0.1 delta            1.132883e-01   1.132764e-01   3.114937e-03   1.071963e-01   1.195818e-01     1.0024
       0.1 sigma_noise      4.902373e-03   4.818730e-03   7.205851e-04   3.727002e-03   6.539145e-03     1.0040
       0.5 eta_s            1.025102e+00   1.026066e+00   2.562093e-02   9.723169e-01   1.073786e+00     1.0081
       0.5 delta            1.100709e-01   1.098847e-01   1.463872e-02   8.210445e-02   1.402790e-01     1.0085
       0.5 sigma_noise      2.404857e-02   2.368314e-02   3.422648e-03   1.838257e-02   3.175386e-02     1.0054
         1 eta_s            1.009347e+00   1.010789e+00   5.333990e-02   9.004573e-01   1.111343e+00     1.0027
         1 delta            1.039302e-01   1.016050e-01   2.915424e-02   5.378221e-02   1.688008e-01     1.0026
         1 sigma_noise      4.806033e-02   4.718426e-02   6.900607e-03   3.698714e-02   6.433399e-02     1.0006
         2 eta_s            9.738079e-01   9.753062e-01   1.090768e-01   7.547717e-01   1.185206e+00     1.0031
         2 delta            9.573650e-02   8.416718e-02   6.056800e-02   1.904617e-02   2.390977e-01     1.0024
         2 sigma_noise      9.679009e-02   9.507842e-02   1.405919e-02   7.399729e-02   1.289546e-01     1.0019
         5 eta_s            1.010679e+00   9.481476e-01   2.764750e-01   6.955388e-01   1.838897e+00     1.0847
         5 delta            5.204590e-01   7.326534e-02   1.669359e+00   1.137819e-02   7.676265e+00     1.1833
         5 sigma_noise      2.389025e-01   2.356908e-01   3.372293e-02   1.831907e-01   3.135013e-01     1.0097
        10 eta_s            1.202541e+00   1.100560e+00   3.968136e-01   6.937071e-01   1.944281e+00     1.0206
        10 delta            3.103493e+00   1.671738e-01   8.350856e+00   1.178340e-02   3.722731e+01     1.0122
        10 sigma_noise      4.777866e-01   4.714258e-01   6.628700e-02   3.693018e-01   6.252291e-01     1.0056
