#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            1.004584e+00   1.004552e+00   1.520792e-03   1.001618e+00   1.007662e+00     1.0006
       0.1 delta            1.047711e-01   1.047403e-01   1.239237e-03   1.023684e-01   1.072986e-01     1.0009
       0.1 sigma_noise      5.619809e-03   5.511253e-03   8.347203e-04   4.288491e-03   7.570833e-03     1.0006
       0.5 eta_s            1.002256e+00   1.002202e+00   7.576584e-03   9.874587e-01   1.016882e+00     1.0016
       0.5 delta            1.033930e-01   1.032069e-01   6.124777e-03   9.190761e-02   1.158125e-01     1.0017
       0.5 sigma_noise      2.685115e-02   2.635265e-02   3.852317e-03   2.055683e-02   3.580145e-02     1.0033
         1 eta_s            1.000361e+00   1.000347e+00   1.510246e-02   9.708046e-01   1.030079e+00     1.0014
         1 delta            1.027247e-01   1.020969e-01   1.223356e-02   8.020784e-02   1.285962e-01     1.0020
         1 sigma_noise      5.356392e-02   5.276114e-02   7.627308e-03   4.092030e-02   7.061729e-02     1.0020
         2 eta_s            9.926896e-01   9.925589e-01   2.915415e-02   9.353669e-01   1.051765e+00     1.0014
         2 delta            9.934585e-02   9.686297e-02   2.367499e-02   6.053609e-02   1.528230e-01     1.0007
         2 sigma_noise      1.074482e-01   1.054243e-01   1.559716e-02   8.270193e-02   1.440028e-01     1.0064
         5 eta_s            9.811646e-01   9.807012e-01   7.605337e-02   8.338771e-01   1.139293e+00     1.0024
         5 delta            1.070054e-01   8.984303e-02   8.017764e-02   2.463218e-02   3.002585e-01     1.0016
         5 sigma_noise      2.680707e-01   2.634020e-01   3.861092e-02   2.048311e-01   3.567016e-01     1.0017
        10 eta_s            1.009752e+00   9.821736e-01   1.707199e-01   7.685695e-01   1.497044e+00     1.0136
        10 delta            7.303035e-01   9.516887e-02   3.555626e+00   1.308488e-02   6.991281e+00     1.0093
        10 sigma_noise      5.301008e-01   5.211018e-01   7.445393e-02   4.100952e-01   7.018830e-01     1.0084
